jira_ticket_id,test_case_id,step_id,source_result_code,ba_action,ba_reason,jira_action,jira_expectation,classification,explanation,label_hint
JIRA-1000,TC-001,ST-1001,RC1001,User logs in,Invalid password,User logs in,Expected: Invalid password,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1001,TC-001,ST-1002,RC1001,User logs in,Invalid password,User logs in (modified step),Expected: Invalid password,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1002,TC-001,ST-1003,RC1001,User logs in,Invalid password,User logs in,Expected: Invalid password BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1003,TC-001,ST-1004,RC1001,User logs in,Invalid password,User logs in,Expected: Invalid password,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1004,TC-001,ST-1005,RC1001,User logs in,Invalid password,User logs in,Expected: Invalid password,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1005,TC-001,ST-1006,RC1001,User logs in,Invalid password,User logs in (modified step),Expected: Invalid password,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1006,TC-001,ST-1007,RC1001,User logs in,Invalid password,User logs in (modified step),Expected: Invalid password,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1007,TC-001,ST-1008,RC1001,User logs in,Invalid password,User logs in,Expected: Invalid password,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1008,TC-002,ST-1009,RC1002,User requests password reset,Email not registered,User requests password reset (modified step),Expected: Email not registered,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1009,TC-002,ST-1010,RC1002,User requests password reset,Email not registered,User requests password reset,Expected: Email not registered,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1010,TC-002,ST-1011,RC1002,User requests password reset,Email not registered,User requests password reset,Expected: Email not registered,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1011,TC-002,ST-1012,RC1002,User requests password reset,Email not registered,User requests password reset,Expected: Email not registered BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1012,TC-002,ST-1013,RC1002,User requests password reset,Email not registered,User requests password reset,Expected: Email not registered,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1013,TC-002,ST-1014,RC1002,User requests password reset,Email not registered,User requests password reset,Expected: Email not registered BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1014,TC-002,ST-1015,RC1002,User requests password reset,Email not registered,User requests password reset,Expected: Email not registered,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1015,TC-002,ST-1016,RC1002,User requests password reset,Email not registered,User requests password reset (modified step),Expected: Email not registered,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1016,TC-003,ST-1017,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1017,TC-003,ST-1018,RC1003,User requests password reset,Valid email sends link,User requests password reset (modified step),Expected: Valid email sends link,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1018,TC-003,ST-1019,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1019,TC-003,ST-1020,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1020,TC-003,ST-1021,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1021,TC-003,ST-1022,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1022,TC-003,ST-1023,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1023,TC-003,ST-1024,RC1003,User requests password reset,Valid email sends link,User requests password reset,Expected: Valid email sends link,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1024,TC-004,ST-1025,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1025,TC-004,ST-1026,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1026,TC-004,ST-1027,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1027,TC-004,ST-1028,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1028,TC-004,ST-1029,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1029,TC-004,ST-1030,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1030,TC-004,ST-1031,RC1004,User inactive,Session expired after 15 min,User inactive,Expected: Session expired after 15 min,MATCH,The test step appears consistent with the source behavior.,match
JIRA-1031,TC-004,ST-1032,RC1004,User inactive,Session expired after 15 min,User inactive (modified step),Expected: Session expired after 15 min,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1032,TC-005,ST-1033,RC1005,5 failed logins,Account locked,5 failed logins (modified step),Expected: Account locked,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1033,TC-005,ST-1034,RC1005,5 failed logins,Account locked,5 failed logins (modified step),Expected: Account locked,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
JIRA-1034,TC-005,ST-1035,RC1005,5 failed logins,Account locked,5 failed logins,Expected: Account locked BUT system behaves differently,MISMATCH,The test step changes or contradicts the source behavior.,mismatch
